Table 1,,,,,
Year,Player,Receiving Yards,Receptions,Yards Per Reception,Receiving Touchdowns
2018,Ja'Marr Chase,313,23,13.6,3
2018,Jaylen Waddle,848,45,18.8,7
2018,Devonta Smith,693,42,16.5,6
2018,Kadarius Toney,260,25,10.4,1
2018,Rashod Bateman,704,51,13.8,6
2018,Elijah Moore,398,36,11.1,2
2018,Rondale Moore,1258,114,11.0,12
2018,Tutu Atwell,406,24,16.9,2
2018,Terrace Marshall,192,12,16.0,0
2018,Josh Palmer,484,23,21.0,2
2018,Dyami Brown,173,17,10.2,1
2018,Amari Rodgers,575,55,10.5,4
2018,Nico Collins,632,38,16.6,6
2018,Anthony Schwartz,357,22,16.2,2
2018,Dez Fitzpatrick,422,31,13.6,3
2018,Amon-Ra St. Brown,750,60,12.5,3
2018,Tylan Wallace,1491,86,17.3,12
2018,Ihmir Smith-Marsette,361,23,15.7,3
2018,Simi Fehoko,6,1,6.0,0
2018,Cornell Powell,63,5,12.6,0
2018,Frank Darby,421,21,20.0,2
2018,Shi Smith,673,45,15.0,4
2018,Racey McMath,42,2,21.0,0
2018,Jalen Camp,186,11,16.9,0
2018,Demetric Felton,207,20,10.4,1
2018,Seth Williams,534,26,20.5,5
2018,Dazz Newsome,506,44,11.5,2
2018,Mike Strachan,1007,48,21.0,8
2018,Tre Nixon,562,40,14.1,4
2018,Ben Skowronek,562,45,12.5,3
2018,Chris Olave,197,12,16.4,3
2018,Jahan Dotson,203,13,15.6,0
2018,Christian Watson,165,9,18.3,0
2018,Tyquan Thornton,354,20,17.7,3
2018,Alec Pierce,0,0,-,0
2018,Velus Jones,266,24,11.1,1
2018,Jalen Tolbert,60,5,12.0,0
2018,Erik Ezukanma,48,2,24.0,1
2018,Romeo Doubs,562,43,13.1,2
2018,Calvin Austin,24,2,12.0,0
2018,Khalil Shakir,170,16,10.6,1
2018,Montrell Washington,62,14,4.4,0
2018,Jalen Nailor,138,8,17.3,2
2018,Mike Woods,206,18,11.4,1
2018,Bo Melton,245,28,8.8,0
2018,Dareke Young,122,7,17.4,2
