Table 1
Year,Player,Receiving Yards,Receptions,Yards Per Reception,Receiving Touchdowns,
2020,Ja'Marr Chase,0,0,-,0,
2020,Jaylen Waddle,591,28,21.1,4,
2020,Devonta Smith,1856,117,15.9,23,
2020,Kadarius Toney,984,70,14.1,10,
2020,Rashod Bateman,472,36,13.1,2,
2020,Elijah Moore,1193,86,13.9,8,
2020,Rondale Moore,270,35,7.7,0,
2020,D'Wayne Eskridge,768,33,23.3,8,
2020,Tutu Atwell,625,46,13.6,7,
2020,Terrace Marshall,731,48,15.2,10,
2020,Josh Palmer,475,33,14.4,4,
2020,Dyami Brown,1099,55,20.0,8,
2020,Amari Rodgers,1020,77,13.2,7,
2020,Nico Collins,0,0,-,0,
2020,Anthony Schwartz,636,54,11.8,3,
2020,Dez Fitzpatrick,833,43,19.4,3,
2020,Amon-Ra St. Brown,478,41,11.7,7,
2020,Jaelon Darden,1190,74,16.1,19,
2020,Tylan Wallace,917,59,15.5,6,
2020,Jacob Harris,539,30,18.0,8,
2020,Ihmir Smith-Marsette,345,25,13.8,4,
2020,Simi Fehoko,584,37,15.8,3,
2020,Cornell Powell,882,53,16.6,7,
2020,Frank Darby,46,6,7.7,1,
2020,Marquez Stevenson,307,20,15.4,0,
2020,Shi Smith,633,57,11.1,4,
2020,Racey McMath,195,14,13.9,1,
2020,Jalen Camp,417,27,15.4,4,
2020,Demetric Felton,159,22,7.2,3,
2020,Seth Williams,760,47,16.2,4,
2020,Dazz Newsome,684,54,12.7,6,
2020,Mike Strachan,0,0,-,0,
2020,Tre Nixon,260,19,13.7,2,
2020,Ben Skowronek,439,29,15.1,5,
2020,Kawaan Baker,659,51,12.9,8,
2020,Dax Milne,1188,70,17.0,8,
2020,Drake London,502,33,15.2,3,
2020,Garrett Wilson,723,43,16.8,6,
2020,Chris Olave,729,50,14.6,7,
2020,Jameson Williams,154,9,17.1,2,
2020,Jahan Dotson,884,52,17.0,8,
2020,Treylon Burks,820,51,16.1,7,
2020,Christian Watson,437,18,24.3,1,
2020,Wan'Dale Robinson,461,51,9.0,1,
2020,John Metchie,916,55,16.7,6,
2020,Tyquan Thornton,158,16,9.9,1,
2020,George Pickens,513,36,14.3,6,
2020,Alec Pierce,315,17,18.5,3,
2020,Skyy Moore,388,25,15.5,3,
2020,Velus Jones,280,22,12.7,3,
2020,Jalen Tolbert,1085,64,17.0,8,
2020,David Bell,625,53,11.8,8,
2020,Danny Gray,474,30,15.8,3,
2020,Erik Ezukanma,748,46,16.3,6,
2020,Romeo Doubs,1002,58,17.3,9,
2020,Calvin Austin,1053,63,16.7,11,
2020,Khalil Shakir,719,52,13.8,6,
2020,Montrell Washington,406,27,15.0,4,
2020,Jalen Nailor,515,26,19.8,4,
2020,Mike Woods,619,32,19.3,5,
2020,Bo Melton,638,47,13.6,6,
2020,Dareke Young,218,14,15.6,2,
