2021 Receiving,,,,,
Year,Player,Receiving Yards,Receptions,Yards Per Reception,Receiving Touchdowns
2021,Drake London,1084,88,12.3,7
2021,Garrett Wilson,1058,70,15.1,12
2021,Chris Olave,936,65,14.4,13
2021,Jameson Williams,1572,79,19.9,15
2021,Jahan Dotson,1182,91,13.0,12
2021,Treylon Burks,1104,66,16.7,11
2021,Wan'Dale Robinson,1334,104,12.8,7
2021,John Metchie,1142,96,11.9,8
2021,Tyquan Thornton,948,62,15.3,10
2021,George Pickens,107,5,21.4,0
2021,Alec Pierce,884,52,17.0,8
2021,Skyy Moore,1283,94,13.6,10
2021,Velus Jones,807,62,13.0,7
2021,Jalen Tolbert,1474,82,18.0,8
2021,David Bell,1286,93,13.8,6
2021,Danny Gray,803,49,16.4,9
2021,Erik Ezukanma,705,48,14.7,4
2021,Romeo Doubs,1109,80,13.9,11
2021,Calvin Austin,1149,74,15.5,8
2021,Jalen Nailor,695,37,18.8,6
2021,Mike Woods,400,35,11.4,2
2021,Bo Melton,618,55,11.2,3
2021,Dark Young,303,25,12.1,4
